Original summaries ,Human Summaries
"Original Review: This cable does the job but beware if you are looking for anything longer than the ASUS brand cable that came with the Nexus 7 It's the same length. But the price is right and the cable seems sturdy enough.

Update: We recently made a trip and I took this cable along, along with the original ASUS charger. Big mistake! As noted in other reviews the cable was incredibly slow in charging my Nexus 7. I left it plugged in overnight and it was only at 22% the next morning. When I returned home I tried the charger with this cable and found that after 10 minutes the batter charge increased from 85% to 86%. Using the same charger and the original ASUS cable for the same 10 minutes, the battery had increases from 86% to 89%. I left the Nexus 7 connected to the charger with the ASUS cable and it reached 100% charge after about an hour.

The cable works fine for copying music and image files back and forth from my PC but it is sorely deficient as a charger cable. Ergo the downgrade in my rating from 4 to 2 stars.","This cable does the job and is sturdy but is the same length as the ASUS cable that came with the Nexus 7.  Update, went on a trip with this cable, found that it was much slower than the original charger. It only charged 22% overnight while the original charged from 86 to 89 in 10 minutes. The cable works fine for copying music and images, but not for charging. Thus, my rating comes down from 4 to 2
"
"At the time of writing this review (9-9-2014) I have been using this KVM daily for the past 3 years with no problems whatsoever. I did not purchase from Amazon, I bought it online from Wal-Mart, which had a better price at the time.

I use this switch on a Windows 98 computer, and a Windows Vista computer. The only complaint that I have about this switch is the cables. If I remember correctly, they are only 4 feet long. I had to rearrange how I run the wires from each computer, but it isn't that big of a deal. I am docking 1 star because of this. I think that the cables should be at least six feet long. However, over the past few years, I have really liked how this KVM made me move the computers - they are both right next to each other, rather than one being farther away.

If you are looking for a quality, budget minded KVM that supports audio switching between the two computers, I highly recommend this unit!","I have been using this KVM that I purchased online from Wal-Mart for the past 3 years no problem. My only complaint is that I had to rearrange my cables from using this cable from my Windows 98 computer to Windows Vista computer. It wasn’t a big issue, but I am removing 1 star for this. I really like this cable. I would recommend this unit when looking for something that supports audio switching between two computers"
"I never thought to check what keys are and are not on a keyboard before purchasing this item.  It has a smaller size than the Kensington keyboard case I usually use (just a little smaller) but that reduced size means that some keys are changed/removed.  If you are used to touch typing and hitting the ""shift"" key with your right pinky, you are in for an unpleasant surprise.  There is no shift key on the right side of this keyboard.  I find myself constantly hitting where that shift should be when typing and on this keyboard and it is the ""enter"" key.  Have to stop and backspace back up....... aggravating.  The solid surface keyboard sounds like a good idea as well, but like many reviewers I find that it takes extra pressure and you are never sure that just because you pushed a key the letter will appear.  I find it slow to use because I have to constantly read what I am typing and backspace to put in letters where it skipped because I didn't hit the key hard enough.  Cute color.  Like the size.  Have no complaints on sturdiness, just don't like the keyboard itself.  I use my Kensington most of the time because I can type rapidly on it while I can't on this keyboard.

Update - after using this case for a month, I noticed what another reader had commented on.  The case does indeed begin to stretch just enough that the home button and camera are not lined up with the notches and holes in the case.  The flap that holds the iPad in has also stretched/given out to the point that the iPad constantly slides out of that side a little. It's become aggravating enough that I'm going back to my old keyboard case.","I never had to check the keys on the keyboard until I bought this smaller keyboard. The reduced size means that keys are changed/removed. I find myself having to adjust for typing mistakes. The keyboard sounds good, but it takes extra pressure to use. It is a cute color and nice size. I just don’t like the keyboard itself.  Update. I noticed that the case doesn’t line up with the holes in the case and causes the iPad to slide out a little. I am going back to my original keyboard case.
"
"Several things I like about this helmet.  1. Color looks very nice 2. the ratchet type chin strap can be done with gloves on after a bit of getting used to it.  3. drop down sun shield that is inside the full clear face shield (I have another helmet where the sun shield flips up on the outside allowing the wind to catch it) BUT the padding on this size small is super thick.  It seems like they take a one size fits all approach. I bought a size SMALL but this helmet looks like an XL sized shell with THICK padding to fill the space to make it fit a small head. Some brands have several sizes of shells like a xsamll/small, Med/Large and XL/XXL.  I was hoping this would compare to my Nolan open face at a much lower price...I have an older Nolan that does not have the sun shield. I know helmets can make us look a bit like Marvin Martian but this is just soooo big looking!  I will keep it and give it a chance but will save my pennies for the Newer version of Nolan's open face with the sunshield.","I like the color of this helmet, the easy ratchet type chin strap , and the drop down sunshield. However, the helmet looks like a one size fits all approach. I bought a small helmet, but it looks like they gave me an XL sized shell with extra padding. I was hoping that this would be like my Nolan open face at a lower price. Helmets make us look goofy. I will keep the helmet, but will save my pennies for the newer version of the Bolan open face."
"I was not very impressed with these books, though I have enjoyed previous Heidi Betts novels. It's possible I just don't like a novella length romance - I do not read them often. Also, these three books (especially the first two) were more erotica than romance, which I was not expecting.

I feel like the focus was too much on sex and not enough on the characters and forging a romance. The sex scenes were very long and drawn out, and the characters spent very little time interacting with each other outside of the sex. I am not prudish - I like my romance novels to have sexy time in them - but this just felt like those porno movies that try to have a plot but really shouldn't bother because people only watch them for the sex. There wasn't a lot of plot or character depth here.

Also, I found Betts' vampires to be extremely boring. It's like True Blood vampires Disneyfied. Her vampires are out in the open publicly and drink synthetic blood called ""NuBlood"" (hmmmmm). Other than that, they don't act like vampires at all. I like my vampires to have a little bit of bloodlust, a little edge... Eric Northman is sexy, these vampires were just BLAH. I would have preferred them to not even BE vampires and the stories would probably have been much better.

I wouldn't really recommend this book - her knitting romance trilogy was much better. This just fell flat for me.","I was not impressed with these books although I liked Heidi Bett’s previous novels. They were more erotica than novel, with not a lot of plot or character depth here. I found the vampires ot be extremely boring characters. Outside drinking blood they don’t act liek vampires at all. I would have prefer for them not to be vampires as that would have made the story better. I wouldn’t recommend this book"
"Horrible tech support. I have had this thing for over 30 days and it still can't connect to the internet. Agreed, it may be something that Im not doing correctly, but tech support should have been able to assist. All I got was attitude from the tech person. Very disappointed with this device so far. I suspect once i am able to finally get this NAS configured correctly, it will work. IF anyone out there want to make $50 by walking me through how to configure this, I will pay you. No kidding folks. Im just not too computer literate. Let me know by sending me a message!

UPDATE 5/10/14 Thanks to many of you on this Amazon Blog, my DIskstation is working great. I can connect via the internet and upload videos and music. Its doing exactly what I wanted it to do. Many thanks to all of you on here that helped walk me though setting this thing up once and for all to help me, at no costs. America is GREAT!","Poor tech support, cannot connect after 30 days. Tech person only gave attitude. I’m willing to pay $50 for some to help me configure this. Updated, thanks to the people on Amazon blog, my diskstation is working great. Thanks for the people who helped walk me through the set up 
"
"Their Harmony One was probably the best remote ever done. On here there are no number buttons, and the touch screen is 'touchy'. On all other remotes at the bottom are number buttons, where your hand would naturally be, this makes changing channels awkward. Skip/Fast forward are now the same button, unlike before and it is very hard to skip 30 seconds and get it to stop where you want. And you must create an account, log in using their own software, and connect to the internet for setup and to make any changes.
If you drop it they will break.
Mine is without the hub, and I got so fed up, I found a refurbished Harmony One on a 'bay' site, and never looked back.",Harmony One is the best remote ever done with a touchy touch screen and no number buttons. Other remotes have awkward layouts and require accounts and internet connection to set up an user. They are also fragile. My remote was without a hub so I replaced it with a refurbished Harmony One.
"UPDATE:  dropping to two stars. due to wireless function loss.

January 26 2014,
the flash still works. but it no longer allows me to switch to wireless mode.  When I press the button the flash locks up. I have to open the batter cover to turn the flash off.. the flash itself still works on the camera. Yes its a $71 flash so I shouldnt be surprised that it has had problems within the year of owning it.  I should be surprised that it still works at all.
Its still a well made flash.. it still works, but it doesnt work for everything anymore.. so I am now left in the position where I need to decide if I buy another one or spend the money on a Sony flash..

--------original review ------------

Alright, first of all, I had no good expectations for this thing. I thought it was going to be cheap thin plastic, I thought it was going to have a screen like those old pocket lcd video games they used to sell when I was a kid.. Maybe the fact I was dreading getting this to see what I just wasted my money on helped make me as happy as I was when I opened this thing.. It's awesome.. Its HUGE, much larger than I expected, good solid thick plastic and its put together very very well.  the manual leaves you wondering how to use the thing, so that could use some improvement, but if you search Yongnuo 560 III on youtube you will get some video's that show how to use the buttons.

I bought this for a Sony A58 and it works just fine on there.. The A58 has the new Sony ""multi interface shoe"" I was hoping the A58's wireless flash setting would fire this thing, and it does, but the timing seems to be off, the photo doesn't show any flash in it.  If I use regular on camera flash settings I can trigger the flash properly.  So of course I have ordered the 603's to help trigger this thing remotely, not that I will do that much..  The 603s do not work with the sony without a mod. open up the unit and solder a 120K ohm or 130K ohm resistor between the VIN (+ terminal) and the J6 terminal (yellow wire). It works, at first you might think that it doesn't, if the screen on your flash has this -- instead of a flash powrer, just hit the buttons to cycle through the powers and then your flash will work great.
Search YouTube for the mod, it will walk you through it.

The thing isn't ttl, so when you get it you will be learning how to use a flash,, Like a moron I started at 100iso in my dark living room with full power and quickly learned I had to move to 800 and bring the flash power down..  And I started playing around with the black foamy thing  Neil Van Niekerk has done some videos and written articles about.  Do a search on it for your self, amazon removed my links for his page. not affiliated with the guy at all.  it helped me a lot to learn about using flash.

I was slow to order this thing thinking it wouldnt work with my Sony, and that is not the case..  If you have the old minolta hot shoe you will need a converter ","When I first bought this thing, I had low expectations, I but it was awesome being large and well put together. The manual is lacking, but you can find youtube videos about it. I bought this for the Sony A58 and it works find. I needed the 603s to trigger this thing remotely. You can search youtube for this mode. The thing isn’t ttl, so you need to learn to use flash. I thought this wouldn’t work with Sony, but it does. Update, flash works but doesn’t let me use wireless mode. I am not sure if I should buy another one or not. Update, drop to 2 star loss of wireless function"
"I purchased this laptop September 25th 2013.and I am truly disappointed with this product from this seller. When I first received the product, the touch screen was not working. I contacted the seller and got no resolution. Lucky for me (so I thought), the touchscreen eventually started to work. A bout 2 months later the battery stopped holding charge. Even when the power chord is connected it doesn't charge. Another charger and battery from the exact same laptop also doesnt work. I just checked the return policy from this seller and you could only return 1 month after purchase. Today is June 27th 2014 (less than one year of purchase). This laptop doesnt work.","I am disappointed with this laptop. The touchscreen has issues at first before working, the battery stopped holding charge at 2 month and the additional charger for the same laptop doesn’t work. The return policy is only valid 1 month after purchase. This laptop doesn’t work
"
"I do a lot of phone tech support (and have for many years now), so I rely on my headset heavily. I need the sound to be loud and clear on BOTH ends, and I need them to be comfortable enough to wear for many hours at a time.

It's hard to believe these $10 Panasonic KX-TCA60 headsets are still the best I've tried out of 8 different models / 4 different brands over the past 8+ years (and many of the ones I tried were much more expensive). For example, I've had $40+ Plantronics models that could not match the volume level and clarity of these. Even the Uniden headset that came with my Uniden 5.8Ghz phones was inferior to the sound quality and volume of these.

I been using these KX-TCA60's for years now and they're all I'll buy any more. I currently use mine with my Uniden TRU-9485 handsets and I'm extremely happy (so are my callers, since we hear each other loud & clear).

I will admit that I purchase them two at a time because I've had some KX-TCA60's that only lasted a couple years (for example, the swivel for the boom does eventually get loose over a long period of time to the point where it won't stay where you've adjusted it) but that's after heavy use and abuse. That plus I tend to roll over the cord with my chair sometimes and it can only endure that so many times before you damage it, but overall these are really pretty rugged.

I would definitely recommend these to anyone who has handsets of ANY brand with headset jacks on them (like I said, these work better with my Uniden phones than my Uniden headset does!), and who spends long hours in calls each day. I hope Panasonic never stops making these!!","I do a phone tech support and need good headsets. These $10 Panasonic KX-TXA60 headsets are the best I tried over 8 models/brands over 8+ years. I’ve been using these KX-TCA60s for years. I admit that I have purchased a couple over time since they only last a couple of year and they get damage from me, but overall these are pretty rugged. I would recommend these to anyone who was headset jack and spends long hours on call

"
