,Review,Topic
3045,"It's my first time trying hempseed and I'm amazed. You can eat directly from the bag! It has a texture similar to cooked couscous (soft and smooth.) It tastes like sun flower or pumpkin seed. It has a light omega-3 fishy oil after taste. Just when I have a thought of going to supermarket getting some ribs to do slow BBQ, I just tried four spoons of hempseed and my craving for soft tender ribs disappear in my head. So I guess it has all the needed stuff you can get from tasty meat with less required cooking time. So Nutiva hempseed is pretty fresh based on the taste and texture of the seeds. My bag was packaged 45 days ago. I separate 1/4 lbs into a smaller ziplock bag leaving in the fridge and the rest went to a bigger ziplock in the freezer.",Food
1179,"I have to admit that I was a little apprehensive about trying these because of a couple of the reviews here. One person even said they were disgusting and she had to throw them away.But I was pleasantly surprised to find that IMO these are excellent, and very easy to use. Just drain and rinse, make any Asian noodle dish from Vietnamese soup to Japanese stir fry, and they are wonderful!Once when I was lazy and didn't feel like going to a lot of effort, I just pan-roasted them, sprinkled on some grinder garlic pepper seasoning, and they were good even like that.There are a lot of recipes I found online that I would like to try. The possibilities are endless.I think I could eat these every day. And I just might.",Food
1506,"I was disappointed in the size of the fig bars. I received some as a gift in the past, and they were three times the size of these bars. The ones I received here, look like they are bite size, fun size, or children's size. I think I was misled by the image shown of this product. I think it would have helped to show a horizontal picture of the bar. Also, maybe put in the description that these are ""fun size"" fig bars so people know they are not the normal size they should be.On a good note, these bars are very tasty. I will just have to make sure I order the correct size next time.",Food
957,"When I first found this mustard at a local grocery store, I was blown away...but then it disappeared from every store that I have been to since, so my only option is online.  Since first trying Plochman's Kosciusko Beer Mustard, (and then agonizing over the loss of it), I tried every Spicy Brown mustard I could find...but no others measured up.  Finally, I found it online, and the celebration lasted for days!This mustard is certainly not the spiciest, but I do believe it is the most flavorful.  It just seems to go with everything I try it on - it makes any sandwich 100% better, plain cold cuts are made magnificent, pretzels reach perfection, and it is not unusual at all for me to sneak downstairs late at night to have a spoonful of this wonderful stuff.  It provides the perfect companion to the cheapest hotdogs, but also to the best gourmet bratwursts.  Bland burgers need just a dab of this mustard to become superb; I have yet to find any kind of meat, sandwich, or snack that is not made better by this mustard!I think this mustard should be registered with the FDA as a drug because it is super-addictive.  Try it, and see if you can put it down.  Be warned...one jar will not be enough.",Food
3893,"I am a little ticked at an email from Amazon stating that this is not available so they were canceling my order, followed by constantly keeping these bags of Skittles in my recommended items.  I bought some to send to my nieces and nephews, had joked with my brother and sister about how they were going to deal with so much candy.  I'll bring presents next time to make up for the failure of this to appear. I'll remain a huge purchaser from Amazon in the tens of thousands per year between me and my wife, but things like this are annoying enough for me to waste my time writing this post. . .",Food
3854,"After my first few gulps I thought it tasted decent.  However, after half a can it started to take on a strange and somewhat unpleasant taste.  I still couldn't tell you what the flavor was.  Some sort of ""fruit punch"".  It does do what it says it is supposed to do which is give you an energy pick up.  I have tried a bunch of different energy drinks from various companies and they are all pretty similar.  Lots of caffeine, Vit B, guarana, and similar ingredients.  There effectiveness depends on individuals' resistance to these stimulants.  I drink several cups of coffee and/or energy drinks a day so the effects are there but minimal compared to my wife who is smaller and will only have an occasional cup of tea or coffee.  She drinks one of these and is bouncing off the walls.  For me it comes down to taste and I am not a fan of this flavor.  I would also choose a no- or low-calories version.",Food
503,"I got a free sample of this product (ground coffee beans) from the Starbucks company today (December 29, 2010).  The artificial vanilla flavor was NOT impressive.  It simply does not taste much like vanilla.  The added ""vanilla"" just provides some off-beat chemical flavor.  Even worse, is that this chemical flavor lingers on the metal coffee filter, and contaminates the flavor of any coffee that is subsequently brewed.Another overall problem with Starbucks coffee is that, in an attempt to imitate Peet's coffee, the Starbucks company provides a generous roasting of their coffee, but they over-roast their coffee to the point that the overwhelming flavor is one of charred or burned wood.Thus, for my 5-cup a day habit, I stick to Folger's, and when I want to treat myself, I buy Peets.  I am not sure why the Starbucks company is so successful, but I am sure it has MORE TO DO with their nice furniture, the creative nomenclature of their coffees, various other marketing gimmicks, and the endless selection of sugared, candied, confectioned, and embellished coffees, and LESS TO DO with the quality of the coffee itself.As a graduate student at U.C. Berkeley, I lived directly across the street from the first Peet's coffee shop, located at Walnut Square in Berkeley, California.  I first went to Peet's in the year 1973.",Food
3600,"I make almost all of my baby's food, but we buy some for on-the-go and unexpected outings.  The bar is set very high on taste and quality, as my 9 month old has refused to eat some brands we have tried to feed him.  I also always taste anything I feed to my son, so again, I have high expectations.  This food was a great deal, and we like the Earth's Best brand, so I bought some.  My son loves it, and I think it tastes great.  An easy way for breakfast on-the-go, instead of having to deal with mixing rice or oatmeal cereal and his fruit.  The only warning I have is that I thought I would be getting a banana/grain & apricot/grain variety pack, but it is banana/apricot/grain all in one jar.  The wording was a little confusing & the flavor on the jar pictured was really small.  But it turned out to be a hit!",Food
2841,"Quaker Oatmeal Squares have a bland taste.  A hint of brown sugar coats each square, and it is exactly that - just a hint.  According to the label, this cereal has 210 calories per 1 cup serving without milk and 250 with skim milk. It boasts 5g dietary fiber and 2g soluble fiber.  For 210 or 250 calories, I think it should have more flavor, but for those who don't like any sugar in cereal, this works out well, especially if they prefer a high-fiber one.  Personally, I wouldn't purchase these oatmeal squares and would opt for a nutritious cereal with more taste.",Food
2454,"I've tried Wilton's fondant before, which tasted horrible and wasn't that easy to work with. Fondarific fondant is amazing! It takes color very nicely, I use Wilton's gel colors, and is very easy to work with. It's a little hard when you take it out of the container, but I just pop it in the microwave for 10seconds and it becomes soft enough for me to work with.This fondant tastes soooo good! Like cotton candy. Delicious!!I made a 3 tier birthday cake using this stuff and I still have some fondant left over.My tiers were 10"", 8"" and 6"". The first two tiers were 4"" tall and the 6"" tier was 8"" tall. I also used this for decorations.Everyone at the party loved it!",Food
