,Review,Topic,Gold Summary,BERT Summary
5643,"I saw this version of Hamlet on television many years ago, and have seen every other version since, whether television or movie. However, this is the one that remains the truest depiction of the story for me. Most excellent Derek Jacobi made Hamlet *real* for me. Before I saw this version, Shakespeare was simply gibberish to me and I never tried to understand the Elizabethan English. Having seen Jacobi's Hamlet several times not only increased my knowledge of literature, but also that of my family. I promptly checked the play out of Library and read it, and poured over the accompanying recording. Jacobi's rendition attracted me to a deeper knowledge. And yet, I have been searing for a video of it for years and years to no avail. It gets a very high rating from viewers. Why, then, has it not been released on video? It's the only Hamlet that I'd invest in...",Movies,"This is the truest depiction of Hamlet for me. Before this movie, Shakespeare was simply gibberish to me. This movie not only increased my knowledge of literature, but also that of my family. Jacobi's rendition attracted me to a deeper knowledge. I have been searing for a video of it.",
5575,"I saw this film at the 2005 Palm Springs International Film Festival. I went in with the assumption that if it stars Chiwetel Ejiofor and Hilary Swank it had to be at least decent. Well, after a kind of a slow start, I was far from disappointed. In fact, I was quite pleased with the final product.I must admit the Afrikaaner and Xhosa(?) accented English of some of the actors were kind of hard to understand but like seeing ""Waking Ned Devine"", ""Trainspotting"" or any other film with heavy-accented actors I adjusted after about 15 minutes. And I was trying to figure out why Hilary Swank was supposed to be South African and sounded like she was trying to put on an accent but sounded very American... as if she was making a weak attempt at putting on the accent. But later in the film as more is revealed about her character and how she moved to the US as a teen you begin to understand how she might have lost some or most of her accent. So it began to make sense that only certain words might have a Afrikaaner lilt to them.I know it's a little weak for one to use film as education but one of the great things about this film is that it was interesting to see a dramatization of a Truth and Reconciliation trial. I'd heard about the T and R process in South Africa after the fall of apartheid but I didn't really know how it worked.The final verdict is that although some of the scenes felt a little contrived, this was overall a very strong film. The closing sequence where the ""truth"" comes out was the strong finish every film hopes for. A definite must see for anyone who cares about what happens outside their borders.",Movies,"The start was slow, but the final product was quite strong and pleasing. The accents were hard to understand initially but one could adjust eventually. It can also be used as education about the Truth and Reconciliation trial. A must see for the finish and what happens outside borders.",
6978,"Lame, cliched superhero action movie drivel. I had high hopes for this movie, and the genre of HK buddy cop actioneers is one that i don't despise, but very rarely do i see a storyline as trite and ludicrous as this one was. This would have been forgivable, as it always is in these kinds of movies, when the action compensates, unfortunately, it did not. The action does carry the trademark surreality and over the top nature of HK action, but it's not very involving, obscenely gory, and in fact often completely incoherent (perhaps this is due to re-editing for american release, it does show signs in many places of patchwork). I was very disappointed.",Movies,"t was a lame, disappointing and cliched action movie drivel. The storyline is trite and ludicrous, and the action did not compensate for this. The action does carry the trademark surreality and over the top nature of HK action, but it's not very involving, obscenely gory, and often completely incoherent.",
5197,"*****SPOILERS*********This movie was truly awful. This woman deceives her employers right from the start and then selfishly proceeds to tear them apart. At the end you see her making a profession out of the trade she'd learned from the father of her ""pupil"". I put pupil in quotes because the governess never really seems to teach the child anything. She seems to hate her and can't stand being near her. I felt sorry for the little girl who simply wanted to be loved, absent that, it was understandable that she would say and do outrages things just to get attention but the viewer wasn't supposed to sympathize with the little girl, the viewer was supposed to sympathize with the governess who hated her pupil and manipulated and deceived her employers. I just couldn't do it. This was not the story of a self made woman, rather, it was a window into the mind of one who uses others at every opportunity with no other thought for anyone outside of her own family. I couldn't stand the governess! This was a really horrible movie. I only paid one dollar to rent it but even that was too much!",Movies,It was an awful movie. A woman selfishly makes a profession out of the trade she’d learned from the father of her pupil who she hated. The viewer was supposed to sympathize with the governess and not the little girl. It was a window into the mind of one who uses and deceives others.,
4232,"I was struck by the awful acting and script for this movie. All the characters seem rendered immobile by personal issues - rather like deer in headlights. They dither around whining and moaning about their emotions when decisive actions need to be taken. I found myself yelling at the TV screen trying to wake them up to their situation and DO SOMETHING! The plot line is implausible. Every time there is a key decision to be taken by a lead character, one of the other characters has to bring up all the problems with the obvious decision as though to further render the decision more difficult - it is a tried melodramatic ploy and just wants to make you groan. Clearly the import of the decision is obvious - you don't need to treat the audience as idiots. Overall - there is just too much emotional melodrama in the whole movie.",Movies,"I was struck by the awful acting, too much melodrama and script for this movie. Characters seem rendered immobile by personal issues, and I was yelling at the TV screen to wake them up. No decision is taken without one of the characters bringing up problems with the obvious decision.",
6055,"Ghilli is the best movie of vijay & one of the biggest hit in his career.... As I had not seen the Telegu movie so I could enjoy this movie even more.The story is about a girl wanting to escape the clutches of a local goon who wants to forcibly marry her. Since he is a goon so no body is ready to help the heroine. Vijay who had come to play a Kabaddi match there sees this and decides to help her. The rest of the movie is how vijay helps her & how the girl ultimately escapes the clutches of the goon & the goon's father's political cronies. The movie has lot of the edge of the seat thriller moments and will keep the viewer engaged till the end. Vijay is as usual very good in role of the kabaddi player. Trisha,Ashish Vidyarthi,the bunch of vijay friends all have done their job competently. A special mention has to be made about the villain of the movie Prakashraj.The villain's character has been properly etched out and prakashraj has portrayed it very well. Surprisingly, for the first time, I felt sympathy for the villain in the end. The dialogue ""Hi Chellam"" has really caught on with the masses. The music by vidyasagar is brilliant and the song 'apadi podu' is a rage all over..Dharani has to be credited with such a nice masala movie which will be enjoyed by not just die hard vijay fans but also by the general tamil movie audience all over the world.",Movies,Ghilli is the best and biggest hit movie of Vijay. The story is about a girl wanting to escape the clutches of a local goon who wants to forcibly marry her. Vijay and his friends help her and she escapes. The movie is very engaging and will be enjoyed by audience all over. Prakashraj plays the role of villain very well. The music by vidyasagar is brilliant.,
4660,"This film had no huge stars in it, but did have a very good cast filled with excellent supporting actors AND Gene Tierney before she became a big star. With George Sanders, Reginald Gardner, Harry Carey, Bruce Cabot, Jospeh Calleia and Cederic Hardwicke, you'd expect more from the film than it actually delivered. Most of this, I suspect, is because of a second-rate script, as director Henry Hathaway was a competent and well-established man at the helm.The film is set in East Africa during WWII--just before the Americans entered the war. The Brits are trying to control their African colonies while subversive Nazi elements are trying to stir up trouble among the locals. One of the white men in the film is a double-dealer--working for the destruction of the British Empire! But, lovely Tierney, playing a sultan's daughter(!), is out to help save the day for good ol' Britain.American film makers have long sided with the Empire and the 1930s and 40s saw a plethora of pro-empire films. Nowadays, with changed sensibilities, the notion of seeing the happy black natives dying for Queen and country seems ridiculous--and it would be hard to root for either side! Still, in its day, this propaganda piece was effective in drumming up support for the British--though when seen today, the film suffers from a long-winded script and silly casting. The one bright moment in the film is the final showdown between George Sanders and the enemy agent. Too bad after such a potent scene the film just seemed to talk and talk--losing some of its punch.",Movies,"The movie had a very good cast although there were no big stars, but it does not deliver as expected. The director is competent, but the script is second-rate. The film is set in East Africa during WWII. The Brits are controlling their African colonies while Nazi elements and a double dealer are causing trouble. The one bright moment in the film is the final showdown.",
5188,"As a movie critic for several Dutch websites, I have to see lot's of movies, and not all very good ones. Some movies are so bad, you won't be surprised that they are released straight on video. With taboo, I√°m surprised that it is released on video at all. This is really low budget bad quality bad written rubbish. A group of youngsters plays a game of taboo. They write down their most sickening wish or act, and later on people are murdered for their taboo's. The question is, should we believe what we see?The movie has a potential interesting plot-twist, and I won't give it away here. But what could have been interesting stays stupid, bad acted and without any reason.Some of the actors have played in bigger titles before, so why on earth did they sign up for this? If you see this anywhere, try to dodge it. There is no logic, no human sense of quality in this movie.",Movies,"Taboo is low budget, bad quality rubbish. A group of youngsters play a game of Taboo and write down their most sickening wish and are later murdered for their taboo’s. The movie has a potential interesting plot-twist, but it is stupid, no logic and bad acted. If you see this anywhere, try to dodge it.",
5316,"I just can't get it, freaks out on the planet are talking about this one as a must seen, they even dare to call it a (s)exploitation because the possessed girl is seducing priests and is masturbating all time. Don't let me laugh. I watched the movie, seducing is only at the end of the movie and don't call it seducing,it's just bad language that's she is talking. And the masturbationscene is a big laugh too, she tries to seduce her father while masturbating, let me be clear, with her clothes on you perverts out there. It isn't gory or bloody at all, everybody is vomiting on Beyond The Door, well, let me tell, that one is for me better than this flick. Only the last 5 minutes the possessed one is vomiting and having weird eyes. If I had know that this is so bad then I would never caught me a copy. If you really wan't to see a (s)exploiation about exorcism watch Angel Above, The Devil Below or other cheesy ones. a waist of time this is.",Movies,"Freaks are talking about this as a must see, because the possessed girl is seducing priests and masturbating. It isn't gory or bloody at all, everybody is vomiting. Only the last 5 minutes the possessed one is vomiting and having weird eyes. It is very bad.",
7114,"I get the feeling that the producers of this mess were out to make the most painful, ridiculous Western ever made. ""PAINFUL"" is the best word I can think of to describe it.On the plus side you have nice color photography and beautiful and well-spoken Rhonda Fleming. My sympathy goes to Jacques Aubuchon (who played the cripple), who acted well enough in an annoying role, written so atrociously that no actor could give an enjoyable performance. The production values were quite good, which only served to highlight the terrible story and screenplay.Things I hated: Stewart Granger looked so little like a western figure, what with his British accent, neat tailored outfit, and silly immaculate always-white kerchief tied around his neck. It got tiresome the way the townspeople and his son were constantly haranguing and insulting Granger, and he never spoke up or replied back. I know we are supposed to suspend disbelief and appreciate Westerns as symbolic morality plays, but this one broke the spell with it laughably unrealistic and predictable scenes, the worst being at the end where Granger miraculously, speedily and single-handedly plants dynamite around a canyon pass that the bad guy's cattle will pass through, and then Granger plants himself in the perfect spot so he can shoot the dynamite from a very far distance to create rock slides to bury and spook the cattle and bad guys, seemingly destroying them all, save the two main bad guys. Next worst is everything about the plot, which is loaded with soap opera scenes. Nothing in the movie seemed believable: I couldn't believe what all the conflict was about. The bad guy was driving his herd through to market and wanted the cows to chew some grass along the way; I don't see why something couldn't have been worked out. You need a land ownership dispute for that? Don't bother to see it.",Movies,"This movie is “PAINFUL”. On the plus side you have nice color photography and Rhonda Fleming. Jacques Aubuchon acted well enough in an annoying role and production values were good. Things I hated: Stewart Granger looked so little, it got tiresome the way the townspeople were constantly haranguing Granger. It has laughably unrealistic and predictable scenes. Next worst is everything about the plot.",
7048,"We have reached the ceiling of implausibility with this movie. Basically, Dinosaurs come aboard this ship piloted by some weird old fart named Neweyes(which I needed after I watched this movie). Apparently, Neweyes hears the wishes of children everywhere and decides that he should grant the wish of children that Dinosaurs be brought into modern times to be seen by everybody for shameless exploitation. The dinosaurs eat this stuff that makes them smarter(Too bad the screenwriters didn't have it). By the way, does it seem weird that out of ALL the wishes of the children in the world, Neweyes grants the wish of bringing Dinosaurs to modern times? Why not grant the wishes of kids to stop famine? Disease? War? I mean come on! Doesn't Neweyes have anything better to do with all this power he has??? Finally, when the Dinosaurs get to modern times they start singing, dancing and wrecking havoc(basically the kind of thing you might see on a bad LSD trip, I mean where else could you see a T-Rex playing golf and jumping on a balloon of Spider-man?). They end up in the circus and Neweyes Brother Screweyes(???) makes the kids that have befriended the dinosaurs sign a blank contract. Why? Why would kids sign a blank contract??? Screweyes says that if the dinosaurs take some...""Brain-Drain"" That he will let the children go. The dinosaurs instead of tearing apart the evil Screweyes limb from limb, give in and agree to his terms. What?! This is stupid! They could have just menaced him, made him drop the contract, eaten it then walked off with the kids. I think the filmmakers were trying to show that violence is bad, which is a moot point when finally the dinosaurs escape and a bunch of crows envelop Screweyes and apparently completely eat him. Oh yeah, that's not violent at all! We're back makes no sense, it's not fun, it's goofy, it's stupid, poorly written and contains some of the biggest plot holes ever committed to film. Even for a kid's film... this is BAD.",Movies,"Dinosaurs come aboard this ship piloted by Neweyes who grants the wish that dinosaurs be brought into modern times. When the Dinosaurs get to modern times they start singing, dancing and wrecking havoc. The children who befriended the dinosaurs are made to signa blank contract and then Screweyes is eaten by crows. Even for a kid's film... this is BAD.",
5524,"I love the first and third Beastmasters, but this one was an abomination. It was almost as horrible as 'The Never Ending Story 3', for the same reasons. They took a fascinating fantasy world of Barbarian tribes, farming villages, witches, supernatural creatures, and a cult of religious fanatics using a pyramid; and thought it would be funny to mix in our materialistic pop-culture world of rock & roll, sushi (I think thats what it was), and flashy sports cars. These two worlds do not belong together. I do not want to see a bunch of ancient barbarian looking people dancing to some rock song on the car radio. I have a sense of humor, but this is just stupid. This is what Hollywood does to good fantasy movies when they run out of ideas. Don't give up though, the Eye of Braxus is much, much better. That one I gave a 10. This one, Portal of Time, I give a 1. Believe me, I don't always give such extremely high or low ratings. I just tend to comment only such movies.",Movies,This movie was an abomination. They took a fascinating fantasy world and thought it would be funny to mix in our materialistic pop-culture world. I do not want to see a bunch of ancient barbarian looking people dancing to some rock song on the car radio. This movie is a 1.,
5744,"A group of cats look to find their way home after being kidnapped by a greedy butler.The Aristocats is regarded as one of Walt Disney's finest 2D animations with its charming script and cool characters, but it doesn't quite have the magic that created Snow White or the Jungle Book.The slow opening will have younger viewers raising their eyebrows but once the cats become established into the story does the fun and entertainment begin.The young cats create the most enjoyment with a charming young hearted rivalry, the special kind of bonding any brother or sister of any age can associate with.Not the funniest Disney picture out there but there are some great comic moments, especially involving the Cats and the Dogs. The representation of the gangster cats is very impressive and equally amusing.The story, after the boring beginning, is consistently entertaining and exactly what a family film should be. There are hardly any lapses and no dull moments. The journey to find home is interesting and you get a sense of exploring, not to mention two very strange British swans.With Disney, you always get a strong meaningful message. With the Jungle Book it is where you belong, with Beauty and the Beast you explore the importance of inner beauty. However with this 1970 picture there seems to be something missing. The film has the importance and relevance of home but is not cemented enough; it seems very far fetched and irrelevant.My sister and I found it very strange watching this as some of the central characters were voiced by the Jungle Book cast.Despite the bad beginning and the confusion of its preaching message, this is a consistently fun family film with a good music score and some cool crazy characters that viewers of any age can relate to.",Movies,A group of cats look to find their way home after being kidnapped by a greedy butler. It doesn’t have the magic that most Disney movies do. The opening is slow but is consistently entertaining after that with good music. The journey to find home is interesting and you get a sense of exploring. The film has the importance and relevance of home but is not cemented enough.,
4132,"Many believe this movie is a baseball movie. Such people are disappointed because it's about a baseball player, but the movie isn't about baseball.Some think this movie is a romantic comedy and are disappointed because the relationship isn't really developed. This movie is not a romantic comedy.This movie is about culture. An arrogant American Major Leaguer and a stern traditional Japanese baseball manager cannot succeed because they can't, indeed, won't understand one another. It's after they manage to break through the cultural barrier that they have success. The ballplayer becomes more Japanese in his team mentality and the manager more American in allowing individual achievement, and they meet in the middle.Baseball and the romance is subordinate to this critique of the two cultures. Many who have no understanding of the Japanese mindset miss this and think it's a movie on baseball or romance and see the culture clash as mild comedy relief. It's not---the culture clash is the gravamen of the movie. Based on my own experience and understanding of the Japanese culture, I think this movie did quite well in that it didn't overly romanticize the Japanese culture nor overdo it in its portrayal.Overall, I believe this is an enjoyable and relaxing movie if one understands what it is really about.",Movies,"The movie is about a baseball player and culture, not baseball. An arrogant American Major Leaguer and traditional Japanese baseball manager break through the cultural barrier and succeed.  The culture clash is the gravamen of the movie. I think it did pretty well in that it did not overdo the portrayal, was enjoyable and relaxing. ",
7484,"When the Chamberlain family is camping near Ayers Rock, Australia, Lindy Chamberlain (Meryl Streep) sees her baby being dragged out of their tent by a dingo and then begins an ordeal that no one should have to experience. For it seems like the dingo story is not believed by the public or the press, and the whole thing turns into a circus. Lindy doesn't help matters either because she won't play to the jury or courtroom, she's only herself, and she's a tough nut to crack, so of course everyone thinks she's guilty because there's a piece of evidence that hasn't come to light. Sam Neill is excellent as Michael Chamberlain, a Seventh-Day adventist pastor, who has doubts about his faith and perhaps about his wife. It's good (or bad) to see that people are just as prejudiced and stupid elsewhere as they are in the States too, because the Australian public doesn't believe the story and the media only fans the flames. Eventually, Lindy is found guilty and sent to prison for a life of hard labor, but years later, a missing piece of evidence shows up and she's freed, but not until after the family's life is basically ruined. A heart-breaking story, very well done, a bit long but well worth seeing. 8 out of 10.",Movies,"When a family is camping near Ayers, Lindy sees her baby being dragged out of their tent by a dingo but the public does not believe this story. This begins an ordeal no one should have to experience. Everyone thinks Lindy is guilty and she is sent to prison. Micheal has doubts about his faith and his wife. Years later, a piece of evidence is found and Lindy is freed. It is a heartbreaking story but a bit long.",
6844,"Today's sci-fi thrillers are more like Rambo in outer-space with monster special effects (frequently ludicrous such as sounds of explosions in the vacuum of space). Though tame by today's standards, the special effects of ""Forbidden Planet"" were quite striking for their time. Even today, they still hold plausibility. Yet, the best part of the movie is perhaps the reason that radio thrillers still have appeal. Much of what was going on was left up to the imaginations of the audience. (What did the Krell creatures look like?) By having much of the framework of the story never divulged or only divulged in the end, the tension and suspense held throughout the movie. The ending was also very thought-provoking and satisfying. In my mind, this is still one of the best (if not the best) sci-fi films ever made.",Movies,"The special effects of ""Forbidden Planet"" were quite striking for their time. The best part is the reason that radio thrillers still have appeal. A lot was left to the imagination. Tension and suspense held throughout the movie. One of the best sci-fi films ever made.",
5901,"This is a reunion, a team, and a great episode of Justice. From hesitation to resolution, Clark has made a important leap from a troubled teenager who was afraid of a controlled destiny, to a Superman who, like Green Arrow, sets aside his emotions to his few loved ones, ready to save the whole planet. This is not just a thrilling story about teamwork, loyalty, and friendship; this is also about deciding what's more important in life, a lesson for Clark. I do not want the series to end, but I hope the ensuing episodes will strictly stick to what Justice shows without any ""rewind"" pushes and put a good end here of Smallville---and a wonderful beginning of Superman.In this episode, however, we should have seen more contrast between Lex and the Team. Nine stars should give it enough credit.",Movies,"This is a reunion, a team, and a great episode of Justice. Clark has made an important leap from a troubled teenager who was afraid of a controlled destiny, to a Superman who is ready to save the planet. We should have seen more contrast between Lex and the Team. The movie was wonderful.","In this episode, however, we should have seen more contrast between Lex and the Team."
4429,"This movie was craptacular. I was so emotionally uninvolved in every single character that the movies' biggest antagonist was, in fact, myself. I played it beautifully throughout; promising myself I would walk away, but only drinking another beer hoping it would auto-magically transform into something engrossing along the way. Even in this state, I couldn't help but notice that Cuba's acting was as flimsy as tracing paper. His obsessive dedication to his job was unconvincingly done as well as his one night binge after the failure of his own idiot standards. Burt came on the screen as a General, that's right, a General (who wears too much makeup). I fell into a frighteningly fast binge to rival Cuba's, except mine was real and I stubbed my toe. Recompense! Recompense my stubbed toe!",Movies,"The movie was craptacular. The biggest antagonist was me. I promised myself I would walk away, drinking another beer hoping it would get engrossing along the way. I couldn't help but notice that Cuba's acting was as flimsy as tracing paper. I fell into a frighteningly fast binge to rival Cuba's.","I was so emotionally uninvolved in every single character that the movies' biggest antagonist was, in fact, myself. Burt came on the screen as a General, that's right, a General (who wears too much makeup)."
7462,"It was simple and yet so nice. I think the whole sense of sex segregation in society, which can be bitter, was shown very delicately. It had a bitter kind of hummer in it. The fact that most of the actors were not professionals, made the movie more tangible and more realistic. There was a ""documentary"" side to the movie too. The best scenes were those that all the girls, banned from watching, were listening passionately to the soldier, who is supposed to keep an eye on them, broadcasting the game. If you are an Iranian, the familiar cheering and dancing in the streets after a game won, fills you up with National pride!! If you are not Iranian, you'll still love it all the same!",Movies,"It was simple and nice. The whole sense of sex segregation is shown very delicately. The fact that most of the actors were not professionals, made the movie more tangible and more realistic, like a documentary. The best scenes were with the girls listening to the soldier. You’ll love the movie irrespective of whether you are an Iranian. ","I think the whole sense of sex segregation in society, which can be bitter, was shown very delicately. The fact that most of the actors were not professionals, made the movie more tangible and more realistic."
